/*venta*/
INSERT INTO venta VALUES(1, 'Sin IVA', 9);
INSERT INTO venta VALUES(2, 'Escolar', 7);
INSERT INTO venta VALUES(3, 'Black Friday', 26);
INSERT INTO venta VALUES(4, 'Sin IVA', 31);
INSERT INTO venta VALUES(5, 'Escolar', 69);
INSERT INTO venta VALUES(6, 'San Valentin', 39);
INSERT INTO venta VALUES(7, 'Navidad', 123);
INSERT INTO venta VALUES(8, 'Año nuevo', 39);
INSERT INTO venta VALUES(9, 'Año nuevo', 73);
INSERT INTO venta VALUES(10, 'Sin IVA', 90);
INSERT INTO venta VALUES(11, 'Navidad', 32);
INSERT INTO venta VALUES(12, 'Navidad', 13);
INSERT INTO venta VALUES(13, 'Navidad', 32);
INSERT INTO venta VALUES(14, 'Año nuevo', 42);
INSERT INTO venta VALUES(15, 'Halloween', 104);
INSERT INTO venta VALUES(16, 'San Valentin', 30);
INSERT INTO venta VALUES(17, 'Black Friday', 22);
INSERT INTO venta VALUES(18, 'Escolar', 47);
INSERT INTO venta VALUES(19, 'Sin IVA', 20);
INSERT INTO venta VALUES(20, 'Año nuevo', 28);
INSERT INTO venta VALUES(21, 'Año nuevo', 47);
INSERT INTO venta VALUES(22, 'Escolar', 21);
INSERT INTO venta VALUES(23, 'Halloween', 69);
INSERT INTO venta VALUES(24, 'Navidad', 93);
INSERT INTO venta VALUES(25, 'Año nuevo', 2);
INSERT INTO venta VALUES(26, 'Navidad', 123);
INSERT INTO venta VALUES(27, 'Año nuevo', 89);
INSERT INTO venta VALUES(28, 'Navidad', 88);
INSERT INTO venta VALUES(29, 'Black Friday', 141);
INSERT INTO venta VALUES(30, 'Halloween', 10);
INSERT INTO venta VALUES(31, 'Black Friday', 76);
INSERT INTO venta VALUES(32, 'Halloween', 35);
INSERT INTO venta VALUES(33, 'Black Friday', 87);
INSERT INTO venta VALUES(34, 'Sin IVA', 85);
INSERT INTO venta VALUES(35, 'Navidad', 127);
INSERT INTO venta VALUES(36, 'San Valentin', 54);
INSERT INTO venta VALUES(37, 'Año nuevo', 136);
INSERT INTO venta VALUES(38, 'Navidad', 40);
INSERT INTO venta VALUES(39, 'Black Friday', 102);
INSERT INTO venta VALUES(40, 'Año nuevo', 78);
INSERT INTO venta VALUES(41, 'Sin IVA', 138);
INSERT INTO venta VALUES(42, 'Halloween', 141);
INSERT INTO venta VALUES(43, 'San Valentin', 107);
INSERT INTO venta VALUES(44, 'San Valentin', 35);
INSERT INTO venta VALUES(45, 'Navidad', 28);
INSERT INTO venta VALUES(46, 'Navidad', 44);
INSERT INTO venta VALUES(47, 'San Valentin', 143);
INSERT INTO venta VALUES(48, 'San Valentin', 95);
INSERT INTO venta VALUES(49, 'Escolar', 33);
INSERT INTO venta VALUES(50, 'Sin IVA', 80);
INSERT INTO venta VALUES(51, 'Halloween', 67);
INSERT INTO venta VALUES(52, 'Navidad', 113);
